"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-02",,,"0.20","0.0","0.0","47","49","45"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-03",,,"0.00","0.0","0.0","51","60","41"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-04",,,"0.00","0.0","0.0","48","55","41"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-05",,,"0.47","0.0","0.0","48","53","44"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-06",,,"0.00","0.0","0.0","52","63","48"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-07",,,"0.00","0.0","0.0","58","71","46"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-08",,,"0.12","0.0","0.0","50","54","43"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-09",,,"0.00","0.0","0.0","51","58","40"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-10",,,"0.00","0.0","0.0","48","56","39"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-11",,,"0.00","0.0","0.0","45","55","34"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-12",,,"0.00","0.0","0.0","49","61","36"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-13",,,"0.00","0.0","0.0","53","62","43"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-14",,,"0.00","0.0","0.0","55","65","51"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-15",,,"0.00","0.0","0.0","58","71","47"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-16",,,"0.00","0.0","0.0","60","67","48"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-17",,,"0.00","0.0","0.0","56","65","47"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-18",,,"0.27","0.0","0.0","56","58","53"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-19",,,"0.00","0.0","0.0","55","56","52"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-20",,,"0.00","0.0","0.0","56","63","52"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-21",,,"0.00","0.0","0.0","58","68","51"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-22",,,"0.00","0.0","0.0","69","84","57"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-23",,,"0.00","0.0","0.0","72","84","60"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-24",,,"0.00","0.0","0.0","71","82","52"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-25",,,"0.00","0.0","0.0","61","68","49"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-26",,,"0.04","0.0","0.0","63","73","54"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-27",,,"0.36","0.0","0.0","54","60","51"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-28",,,"0.17","0.0","0.0","65","81","58"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-29",,,"0.00","0.0","0.0","66","73","53"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-30",,,"0.01","0.0","0.0","58","61","49"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-05-31",,,"0.00","0.0","0.0","61","75","47"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-01",,,"0.00","0.0","0.0","63","78","47"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-02",,,"0.00","0.0","0.0","61","78","45"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-03",,,"0.00","0.0","0.0","65","69","55"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-04",,,"0.00","0.0","0.0","61","69","51"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-05",,,"0.01","0.0","0.0","66","80","56"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-06",,,"0.07","0.0","0.0","64","72","57"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-07",,,"0.15","0.0","0.0","59","63","56"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-08",,,"0.03","0.0","0.0","63","73","56"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-09",,,"0.39","0.0","0.0","61","65","53"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-10",,,"0.00","0.0","0.0","62","74","52"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-11",,,"0.00","0.0","0.0","62","71","49"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-12",,,"0.00","0.0","0.0","63","71","54"
"USW00014764","PORTLAND JETPORT, ME US","43.64244","-70.30443","13.5","2024-06-13",,,"0.00","0.0","0.0","67","75","57"
